Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;04:30:00;01-01-2026;04:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,207;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;04:30:00;01-01-2026;04:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;04:45:00;01-01-2026;05:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,427;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;04:45:00;01-01-2026;05:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:00:00;01-01-2026;05:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,183;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:00:00;01-01-2026;05:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:15:00;01-01-2026;05:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,336;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:15:00;01-01-2026;05:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:30:00;01-01-2026;05:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,264;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:30:00;01-01-2026;05:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:45:00;01-01-2026;06:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,326;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;05:45:00;01-01-2026;06:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:00:00;01-01-2026;06:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,207;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:00:00;01-01-2026;06:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:15:00;01-01-2026;06:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,425;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:15:00;01-01-2026;06:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:30:00;01-01-2026;06:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,280;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:30:00;01-01-2026;06:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:45:00;01-01-2026;07:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,339;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;06:45:00;01-01-2026;07:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;07:00:00;01-01-2026;07:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,215;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;07:00:00;01-01-2026;07:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;07:15:00;01-01-2026;07:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,292;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;07:15:00;01-01-2026;07:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;07:30:00;01-01-2026;07:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,417;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;07:30:00;01-01-2026;07:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
