Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);Metertype;Register;Volume;Eenheid;Validatiestatus
04/06/2025;14:00:00;04/06/2025;14:15:00;Digitale meter;Injectie Dag;0,139;kWh;Uitgelezen
04/06/2025;14:15:00;04/06/2025;14:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;14:15:00;04/06/2025;14:30:00;Digitale meter;Injectie Dag;0,122;kWh;Uitgelezen
04/06/2025;14:30:00;04/06/2025;14:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;14:30:00;04/06/2025;14:45:00;Digitale meter;Injectie Dag;0,086;kWh;Uitgelezen
04/06/2025;14:45:00;04/06/2025;15:00:00;Digitale meter;Afname Dag;0,033;kWh;Uitgelezen
04/06/2025;14:45:00;04/06/2025;15:00:00;Digitale meter;Injectie Dag;0,033;kWh;Uitgelezen
04/06/2025;15:00:00;04/06/2025;15:15:00;Digitale meter;Afname Dag;0,009;kWh;Uitgelezen
04/06/2025;15:00:00;04/06/2025;15:15:00;Digitale meter;Injectie Dag;0,062;kWh;Uitgelezen
04/06/2025;15:15:00;04/06/2025;15:30:00;Digitale meter;Afname Dag;0,008;kWh;Uitgelezen
04/06/2025;15:15:00;04/06/2025;15:30:00;Digitale meter;Injectie Dag;0,097;kWh;Uitgelezen
04/06/2025;15:30:00;04/06/2025;15:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;15:30:00;04/06/2025;15:45:00;Digitale meter;Injectie Dag;0,117;kWh;Uitgelezen
04/06/2025;15:45:00;04/06/2025;16:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;15:45:00;04/06/2025;16:00:00;Digitale meter;Injectie Dag;0,08;kWh;Uitgelezen
04/06/2025;16:00:00;04/06/2025;16:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;16:00:00;04/06/2025;16:15:00;Digitale meter;Injectie Dag;0,195;kWh;Uitgelezen
04/06/2025;16:15:00;04/06/2025;16:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;16:15:00;04/06/2025;16:30:00;Digitale meter;Injectie Dag;0,475;kWh;Uitgelezen
04/06/2025;16:30:00;04/06/2025;16:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;16:30:00;04/06/2025;16:45:00;Digitale meter;Injectie Dag;0,355;kWh;Uitgelezen
04/06/2025;16:45:00;04/06/2025;17:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;16:45:00;04/06/2025;17:00:00;Digitale meter;Injectie Dag;0,219;kWh;Uitgelezen
04/06/2025;17:00:00;04/06/2025;17:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;17:00:00;04/06/2025;17:15:00;Digitale meter;Injectie Dag;0,212;kWh;Uitgelezen
04/06/2025;17:15:00;04/06/2025;17:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;17:15:00;04/06/2025;17:30:00;Digitale meter;Injectie Dag;0,186;kWh;Uitgelezen
04/06/2025;17:30:00;04/06/2025;17:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;17:30:00;04/06/2025;17:45:00;Digitale meter;Injectie Dag;0,181;kWh;Uitgelezen
04/06/2025;17:45:00;04/06/2025;18:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;17:45:00;04/06/2025;18:00:00;Digitale meter;Injectie Dag;0,097;kWh;Uitgelezen
04/06/2025;18:00:00;04/06/2025;18:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;18:00:00;04/06/2025;18:15:00;Digitale meter;Injectie Dag;0,068;kWh;Uitgelezen
04/06/2025;18:15:00;04/06/2025;18:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;18:15:00;04/06/2025;18:30:00;Digitale meter;Injectie Dag;0,164;kWh;Uitgelezen
04/06/2025;18:30:00;04/06/2025;18:45:00;Digitale meter;Afname Dag;0,048;kWh;Uitgelezen
04/06/2025;18:30:00;04/06/2025;18:45:00;Digitale meter;Injectie Dag;0,086;kWh;Uitgelezen
04/06/2025;18:45:00;04/06/2025;19:00:00;Digitale meter;Afname Dag;0,359;kWh;Uitgelezen
04/06/2025;18:45:00;04/06/2025;19:00:00;Digitale meter;Injectie Dag;0,001;kWh;Uitgelezen
04/06/2025;19:00:00;04/06/2025;19:15:00;Digitale meter;Afname Dag;0,024;kWh;Uitgelezen
04/06/2025;19:00:00;04/06/2025;19:15:00;Digitale meter;Injectie Dag;0,008;kWh;Uitgelezen
04/06/2025;19:15:00;04/06/2025;19:30:00;Digitale meter;Afname Dag;0,048;kWh;Uitgelezen
04/06/2025;19:15:00;04/06/2025;19:30:00;Digitale meter;Injectie Dag;0,001;kWh;Uitgelezen
04/06/2025;19:30:00;04/06/2025;19:45:00;Digitale meter;Afname Dag;0,014;kWh;Uitgelezen
04/06/2025;19:30:00;04/06/2025;19:45:00;Digitale meter;Injectie Dag;0,003;kWh;Uitgelezen
04/06/2025;19:45:00;04/06/2025;20:00:00;Digitale meter;Afname Dag;0,034;kWh;Uitgelezen
04/06/2025;19:45:00;04/06/2025;20:00:00;Digitale meter;Injectie Dag;0,001;kWh;Uitgelezen
04/06/2025;20:00:00;04/06/2025;20:15:00;Digitale meter;Afname Dag;0,026;kWh;Uitgelezen
04/06/2025;20:00:00;04/06/2025;20:15:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;20:15:00;04/06/2025;20:30:00;Digitale meter;Afname Dag;0,283;kWh;Uitgelezen
04/06/2025;20:15:00;04/06/2025;20:30:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;20:30:00;04/06/2025;20:45:00;Digitale meter;Afname Dag;0,044;kWh;Uitgelezen
04/06/2025;20:30:00;04/06/2025;20:45:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;20:45:00;04/06/2025;21:00:00;Digitale meter;Afname Dag;0,076;kWh;Uitgelezen
04/06/2025;20:45:00;04/06/2025;21:00:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;21:00:00;04/06/2025;21:15:00;Digitale meter;Afname Dag;0,087;kWh;Uitgelezen
04/06/2025;21:00:00;04/06/2025;21:15:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;21:15:00;04/06/2025;21:30:00;Digitale meter;Afname Dag;0,067;kWh;Uitgelezen
04/06/2025;21:15:00;04/06/2025;21:30:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;21:30:00;04/06/2025;21:45:00;Digitale meter;Afname Dag;0,099;kWh;Uitgelezen
04/06/2025;21:30:00;04/06/2025;21:45:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;21:45:00;04/06/2025;22:00:00;Digitale meter;Afname Dag;0,073;kWh;Uitgelezen
04/06/2025;21:45:00;04/06/2025;22:00:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;22:00:00;04/06/2025;22:15:00;Digitale meter;Afname Nacht;0,071;kWh;Uitgelezen
04/06/2025;22:00:00;04/06/2025;22:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
04/06/2025;22:15:00;04/06/2025;22:30:00;Digitale meter;Afname Nacht;0,037;kWh;Uitgelezen
04/06/2025;22:15:00;04/06/2025;22:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
04/06/2025;22:30:00;04/06/2025;22:45:00;Digitale meter;Afname Nacht;0,015;kWh;Uitgelezen
04/06/2025;22:30:00;04/06/2025;22:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
04/06/2025;22:45:00;04/06/2025;23:00:00;Digitale meter;Afname Nacht;0,034;kWh;Uitgelezen
04/06/2025;22:45:00;04/06/2025;23:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
04/06/2025;23:00:00;04/06/2025;23:15:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
04/06/2025;23:00:00;04/06/2025;23:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
04/06/2025;23:15:00;04/06/2025;23:30:00;Digitale meter;Afname Nacht;0,03;kWh;Uitgelezen
04/06/2025;23:15:00;04/06/2025;23:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
04/06/2025;23:30:00;04/06/2025;23:45:00;Digitale meter;Afname Nacht;0,02;kWh;Uitgelezen
04/06/2025;23:30:00;04/06/2025;23:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
04/06/2025;23:45:00;05/06/2025;00:00:00;Digitale meter;Afname Nacht;0,029;kWh;Uitgelezen
04/06/2025;23:45:00;05/06/2025;00:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;00:00:00;05/06/2025;00:15:00;Digitale meter;Afname Nacht;0,029;kWh;Uitgelezen
05/06/2025;00:00:00;05/06/2025;00:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;00:15:00;05/06/2025;00:30:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
05/06/2025;00:15:00;05/06/2025;00:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;00:30:00;05/06/2025;00:45:00;Digitale meter;Afname Nacht;0,035;kWh;Uitgelezen
05/06/2025;00:30:00;05/06/2025;00:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;00:45:00;05/06/2025;01:00:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
05/06/2025;00:45:00;05/06/2025;01:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;01:00:00;05/06/2025;01:15:00;Digitale meter;Afname Nacht;0,031;kWh;Uitgelezen
05/06/2025;01:00:00;05/06/2025;01:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;01:15:00;05/06/2025;01:30:00;Digitale meter;Afname Nacht;0,028;kWh;Uitgelezen
05/06/2025;01:15:00;05/06/2025;01:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;01:30:00;05/06/2025;01:45:00;Digitale meter;Afname Nacht;0,021;kWh;Uitgelezen
05/06/2025;01:30:00;05/06/2025;01:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;01:45:00;05/06/2025;02:00:00;Digitale meter;Afname Nacht;0,027;kWh;Uitgelezen
05/06/2025;01:45:00;05/06/2025;02:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;02:00:00;05/06/2025;02:15:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
05/06/2025;02:00:00;05/06/2025;02:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;02:15:00;05/06/2025;02:30:00;Digitale meter;Afname Nacht;0,035;kWh;Uitgelezen
05/06/2025;02:15:00;05/06/2025;02:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;02:30:00;05/06/2025;02:45:00;Digitale meter;Afname Nacht;0,014;kWh;Uitgelezen
