Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);Metertype;Register;Volume;Eenheid;Validatiestatus
11/07/2025;02:00:00;11/07/2025;02:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;02:15:00;11/07/2025;02:30:00;Digitale meter;Afname Nacht;0,046;kWh;Uitgelezen
11/07/2025;02:15:00;11/07/2025;02:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;02:30:00;11/07/2025;02:45:00;Digitale meter;Afname Nacht;0,014;kWh;Uitgelezen
11/07/2025;02:30:00;11/07/2025;02:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;02:45:00;11/07/2025;03:00:00;Digitale meter;Afname Nacht;0,03;kWh;Uitgelezen
11/07/2025;02:45:00;11/07/2025;03:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;03:00:00;11/07/2025;03:15:00;Digitale meter;Afname Nacht;0,022;kWh;Uitgelezen
11/07/2025;03:00:00;11/07/2025;03:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;03:15:00;11/07/2025;03:30:00;Digitale meter;Afname Nacht;0,013;kWh;Uitgelezen
11/07/2025;03:15:00;11/07/2025;03:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;03:30:00;11/07/2025;03:45:00;Digitale meter;Afname Nacht;0,04;kWh;Uitgelezen
11/07/2025;03:30:00;11/07/2025;03:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;03:45:00;11/07/2025;04:00:00;Digitale meter;Afname Nacht;0,022;kWh;Uitgelezen
11/07/2025;03:45:00;11/07/2025;04:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;04:00:00;11/07/2025;04:15:00;Digitale meter;Afname Nacht;0,039;kWh;Uitgelezen
11/07/2025;04:00:00;11/07/2025;04:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;04:15:00;11/07/2025;04:30:00;Digitale meter;Afname Nacht;0,024;kWh;Uitgelezen
11/07/2025;04:15:00;11/07/2025;04:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;04:30:00;11/07/2025;04:45:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
11/07/2025;04:30:00;11/07/2025;04:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;04:45:00;11/07/2025;05:00:00;Digitale meter;Afname Nacht;0,041;kWh;Uitgelezen
11/07/2025;04:45:00;11/07/2025;05:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;05:00:00;11/07/2025;05:15:00;Digitale meter;Afname Nacht;0,011;kWh;Uitgelezen
11/07/2025;05:00:00;11/07/2025;05:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;05:15:00;11/07/2025;05:30:00;Digitale meter;Afname Nacht;0,031;kWh;Uitgelezen
11/07/2025;05:15:00;11/07/2025;05:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;05:30:00;11/07/2025;05:45:00;Digitale meter;Afname Nacht;0,038;kWh;Uitgelezen
11/07/2025;05:30:00;11/07/2025;05:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;05:45:00;11/07/2025;06:00:00;Digitale meter;Afname Nacht;0,015;kWh;Uitgelezen
11/07/2025;05:45:00;11/07/2025;06:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;06:00:00;11/07/2025;06:15:00;Digitale meter;Afname Nacht;0,038;kWh;Uitgelezen
11/07/2025;06:00:00;11/07/2025;06:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;06:15:00;11/07/2025;06:30:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
11/07/2025;06:15:00;11/07/2025;06:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;06:30:00;11/07/2025;06:45:00;Digitale meter;Afname Nacht;0,011;kWh;Uitgelezen
11/07/2025;06:30:00;11/07/2025;06:45:00;Digitale meter;Injectie Nacht;0,001;kWh;Uitgelezen
11/07/2025;06:45:00;11/07/2025;07:00:00;Digitale meter;Afname Nacht;0,014;kWh;Uitgelezen
11/07/2025;06:45:00;11/07/2025;07:00:00;Digitale meter;Injectie Nacht;0,003;kWh;Uitgelezen
11/07/2025;07:00:00;11/07/2025;07:15:00;Digitale meter;Afname Dag;0,108;kWh;Uitgelezen
11/07/2025;07:00:00;11/07/2025;07:15:00;Digitale meter;Injectie Dag;0,005;kWh;Uitgelezen
11/07/2025;07:15:00;11/07/2025;07:30:00;Digitale meter;Afname Dag;0,02;kWh;Uitgelezen
11/07/2025;07:15:00;11/07/2025;07:30:00;Digitale meter;Injectie Dag;0,001;kWh;Uitgelezen
11/07/2025;07:30:00;11/07/2025;07:45:00;Digitale meter;Afname Dag;0,003;kWh;Uitgelezen
11/07/2025;07:30:00;11/07/2025;07:45:00;Digitale meter;Injectie Dag;0,025;kWh;Uitgelezen
11/07/2025;07:45:00;11/07/2025;08:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;07:45:00;11/07/2025;08:00:00;Digitale meter;Injectie Dag;0,037;kWh;Uitgelezen
11/07/2025;08:00:00;11/07/2025;08:15:00;Digitale meter;Afname Dag;0,004;kWh;Uitgelezen
11/07/2025;08:00:00;11/07/2025;08:15:00;Digitale meter;Injectie Dag;0,015;kWh;Uitgelezen
11/07/2025;08:15:00;11/07/2025;08:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;08:15:00;11/07/2025;08:30:00;Digitale meter;Injectie Dag;0,048;kWh;Uitgelezen
11/07/2025;08:30:00;11/07/2025;08:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;08:30:00;11/07/2025;08:45:00;Digitale meter;Injectie Dag;0,068;kWh;Uitgelezen
11/07/2025;08:45:00;11/07/2025;09:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;08:45:00;11/07/2025;09:00:00;Digitale meter;Injectie Dag;0,052;kWh;Uitgelezen
11/07/2025;09:00:00;11/07/2025;09:15:00;Digitale meter;Afname Dag;0,001;kWh;Uitgelezen
11/07/2025;09:00:00;11/07/2025;09:15:00;Digitale meter;Injectie Dag;0,03;kWh;Uitgelezen
11/07/2025;09:15:00;11/07/2025;09:30:00;Digitale meter;Afname Dag;0,004;kWh;Uitgelezen
11/07/2025;09:15:00;11/07/2025;09:30:00;Digitale meter;Injectie Dag;0,011;kWh;Uitgelezen
11/07/2025;09:30:00;11/07/2025;09:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;09:30:00;11/07/2025;09:45:00;Digitale meter;Injectie Dag;0,042;kWh;Uitgelezen
11/07/2025;09:45:00;11/07/2025;10:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;09:45:00;11/07/2025;10:00:00;Digitale meter;Injectie Dag;0,041;kWh;Uitgelezen
11/07/2025;10:00:00;11/07/2025;10:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;10:00:00;11/07/2025;10:15:00;Digitale meter;Injectie Dag;0,147;kWh;Uitgelezen
11/07/2025;10:15:00;11/07/2025;10:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;10:15:00;11/07/2025;10:30:00;Digitale meter;Injectie Dag;0,129;kWh;Uitgelezen
11/07/2025;10:30:00;11/07/2025;10:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;10:30:00;11/07/2025;10:45:00;Digitale meter;Injectie Dag;0,188;kWh;Uitgelezen
11/07/2025;10:45:00;11/07/2025;11:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;10:45:00;11/07/2025;11:00:00;Digitale meter;Injectie Dag;0,296;kWh;Uitgelezen
11/07/2025;11:00:00;11/07/2025;11:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;11:00:00;11/07/2025;11:15:00;Digitale meter;Injectie Dag;0,32;kWh;Uitgelezen
11/07/2025;11:15:00;11/07/2025;11:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;11:15:00;11/07/2025;11:30:00;Digitale meter;Injectie Dag;0,358;kWh;Uitgelezen
11/07/2025;11:30:00;11/07/2025;11:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;11:30:00;11/07/2025;11:45:00;Digitale meter;Injectie Dag;0,399;kWh;Uitgelezen
11/07/2025;11:45:00;11/07/2025;12:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;11:45:00;11/07/2025;12:00:00;Digitale meter;Injectie Dag;0,383;kWh;Uitgelezen
11/07/2025;12:00:00;11/07/2025;12:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;12:00:00;11/07/2025;12:15:00;Digitale meter;Injectie Dag;0,474;kWh;Uitgelezen
11/07/2025;12:15:00;11/07/2025;12:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;12:15:00;11/07/2025;12:30:00;Digitale meter;Injectie Dag;0,41;kWh;Uitgelezen
11/07/2025;12:30:00;11/07/2025;12:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;12:30:00;11/07/2025;12:45:00;Digitale meter;Injectie Dag;0,215;kWh;Uitgelezen
11/07/2025;12:45:00;11/07/2025;13:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;12:45:00;11/07/2025;13:00:00;Digitale meter;Injectie Dag;0,304;kWh;Uitgelezen
11/07/2025;13:00:00;11/07/2025;13:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;13:00:00;11/07/2025;13:15:00;Digitale meter;Injectie Dag;0,192;kWh;Uitgelezen
11/07/2025;13:15:00;11/07/2025;13:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;13:15:00;11/07/2025;13:30:00;Digitale meter;Injectie Dag;0,423;kWh;Uitgelezen
11/07/2025;13:30:00;11/07/2025;13:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;13:30:00;11/07/2025;13:45:00;Digitale meter;Injectie Dag;0,285;kWh;Uitgelezen
11/07/2025;13:45:00;11/07/2025;14:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;13:45:00;11/07/2025;14:00:00;Digitale meter;Injectie Dag;0,443;kWh;Uitgelezen
11/07/2025;14:00:00;11/07/2025;14:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;14:00:00;11/07/2025;14:15:00;Digitale meter;Injectie Dag;0,447;kWh;Uitgelezen
11/07/2025;14:15:00;11/07/2025;14:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;14:15:00;11/07/2025;14:30:00;Digitale meter;Injectie Dag;0,371;kWh;Uitgelezen
11/07/2025;14:30:00;11/07/2025;14:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;14:30:00;11/07/2025;14:45:00;Digitale meter;Injectie Dag;0,478;kWh;Uitgelezen
11/07/2025;14:45:00;11/07/2025;15:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;14:45:00;11/07/2025;15:00:00;Digitale meter;Injectie Dag;0,367;kWh;Uitgelezen
11/07/2025;15:00:00;11/07/2025;15:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;15:00:00;11/07/2025;15:15:00;Digitale meter;Injectie Dag;0,334;kWh;Uitgelezen
11/07/2025;15:15:00;11/07/2025;15:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;15:15:00;11/07/2025;15:30:00;Digitale meter;Injectie Dag;0,405;kWh;Uitgelezen
11/07/2025;15:30:00;11/07/2025;15:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;15:30:00;11/07/2025;15:45:00;Digitale meter;Injectie Dag;0,393;kWh;Uitgelezen
11/07/2025;15:45:00;11/07/2025;16:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;15:45:00;11/07/2025;16:00:00;Digitale meter;Injectie Dag;0,345;kWh;Uitgelezen
11/07/2025;16:00:00;11/07/2025;16:15:00;Digitale meter;Afname Dag;0,001;kWh;Uitgelezen
11/07/2025;16:00:00;11/07/2025;16:15:00;Digitale meter;Injectie Dag;0,332;kWh;Uitgelezen
11/07/2025;16:15:00;11/07/2025;16:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;16:15:00;11/07/2025;16:30:00;Digitale meter;Injectie Dag;0,368;kWh;Uitgelezen
11/07/2025;16:30:00;11/07/2025;16:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;16:30:00;11/07/2025;16:45:00;Digitale meter;Injectie Dag;0,326;kWh;Uitgelezen
11/07/2025;16:45:00;11/07/2025;17:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;16:45:00;11/07/2025;17:00:00;Digitale meter;Injectie Dag;0,271;kWh;Uitgelezen
11/07/2025;17:00:00;11/07/2025;17:15:00;Digitale meter;Afname Dag;0,021;kWh;Uitgelezen
11/07/2025;17:00:00;11/07/2025;17:15:00;Digitale meter;Injectie Dag;0,184;kWh;Uitgelezen
11/07/2025;17:15:00;11/07/2025;17:30:00;Digitale meter;Afname Dag;0,069;kWh;Uitgelezen
11/07/2025;17:15:00;11/07/2025;17:30:00;Digitale meter;Injectie Dag;0,211;kWh;Uitgelezen
11/07/2025;17:30:00;11/07/2025;17:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;17:30:00;11/07/2025;17:45:00;Digitale meter;Injectie Dag;0,32;kWh;Uitgelezen
11/07/2025;17:45:00;11/07/2025;18:00:00;Digitale meter;Afname Dag;0,072;kWh;Uitgelezen
11/07/2025;17:45:00;11/07/2025;18:00:00;Digitale meter;Injectie Dag;0,191;kWh;Uitgelezen
11/07/2025;18:00:00;11/07/2025;18:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;18:00:00;11/07/2025;18:15:00;Digitale meter;Injectie Dag;0,307;kWh;Uitgelezen
11/07/2025;18:15:00;11/07/2025;18:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;18:15:00;11/07/2025;18:30:00;Digitale meter;Injectie Dag;0,282;kWh;Uitgelezen
11/07/2025;18:30:00;11/07/2025;18:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;18:30:00;11/07/2025;18:45:00;Digitale meter;Injectie Dag;0,155;kWh;Uitgelezen
11/07/2025;18:45:00;11/07/2025;19:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;18:45:00;11/07/2025;19:00:00;Digitale meter;Injectie Dag;0,132;kWh;Uitgelezen
11/07/2025;19:00:00;11/07/2025;19:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;19:00:00;11/07/2025;19:15:00;Digitale meter;Injectie Dag;0,117;kWh;Uitgelezen
11/07/2025;19:15:00;11/07/2025;19:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;19:15:00;11/07/2025;19:30:00;Digitale meter;Injectie Dag;0,083;kWh;Uitgelezen
11/07/2025;19:30:00;11/07/2025;19:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
11/07/2025;19:30:00;11/07/2025;19:45:00;Digitale meter;Injectie Dag;0,079;kWh;Uitgelezen
11/07/2025;19:45:00;11/07/2025;20:00:00;Digitale meter;Afname Dag;0,003;kWh;Uitgelezen
11/07/2025;19:45:00;11/07/2025;20:00:00;Digitale meter;Injectie Dag;0,015;kWh;Uitgelezen
11/07/2025;20:00:00;11/07/2025;20:15:00;Digitale meter;Afname Dag;0,005;kWh;Uitgelezen
11/07/2025;20:00:00;11/07/2025;20:15:00;Digitale meter;Injectie Dag;0,006;kWh;Uitgelezen
11/07/2025;20:15:00;11/07/2025;20:30:00;Digitale meter;Afname Dag;0,045;kWh;Uitgelezen
11/07/2025;20:15:00;11/07/2025;20:30:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
11/07/2025;20:30:00;11/07/2025;20:45:00;Digitale meter;Afname Dag;0,055;kWh;Uitgelezen
11/07/2025;20:30:00;11/07/2025;20:45:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
11/07/2025;20:45:00;11/07/2025;21:00:00;Digitale meter;Afname Dag;0,069;kWh;Uitgelezen
11/07/2025;20:45:00;11/07/2025;21:00:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
11/07/2025;21:00:00;11/07/2025;21:15:00;Digitale meter;Afname Dag;0,092;kWh;Uitgelezen
11/07/2025;21:00:00;11/07/2025;21:15:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
11/07/2025;21:15:00;11/07/2025;21:30:00;Digitale meter;Afname Dag;0,078;kWh;Uitgelezen
11/07/2025;21:15:00;11/07/2025;21:30:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
11/07/2025;21:30:00;11/07/2025;21:45:00;Digitale meter;Afname Dag;0,062;kWh;Uitgelezen
11/07/2025;21:30:00;11/07/2025;21:45:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
11/07/2025;21:45:00;11/07/2025;22:00:00;Digitale meter;Afname Dag;0,025;kWh;Uitgelezen
11/07/2025;21:45:00;11/07/2025;22:00:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
11/07/2025;22:00:00;11/07/2025;22:15:00;Digitale meter;Afname Nacht;0,034;kWh;Uitgelezen
11/07/2025;22:00:00;11/07/2025;22:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;22:15:00;11/07/2025;22:30:00;Digitale meter;Afname Nacht;0,043;kWh;Uitgelezen
11/07/2025;22:15:00;11/07/2025;22:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;22:30:00;11/07/2025;22:45:00;Digitale meter;Afname Nacht;0,015;kWh;Uitgelezen
11/07/2025;22:30:00;11/07/2025;22:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;22:45:00;11/07/2025;23:00:00;Digitale meter;Afname Nacht;0,037;kWh;Uitgelezen
11/07/2025;22:45:00;11/07/2025;23:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;23:00:00;11/07/2025;23:15:00;Digitale meter;Afname Nacht;0,014;kWh;Uitgelezen
11/07/2025;23:00:00;11/07/2025;23:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;23:15:00;11/07/2025;23:30:00;Digitale meter;Afname Nacht;0,024;kWh;Uitgelezen
11/07/2025;23:15:00;11/07/2025;23:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;23:30:00;11/07/2025;23:45:00;Digitale meter;Afname Nacht;0,031;kWh;Uitgelezen
11/07/2025;23:30:00;11/07/2025;23:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
11/07/2025;23:45:00;12/07/2025;00:00:00;Digitale meter;Afname Nacht;0,021;kWh;Uitgelezen
11/07/2025;23:45:00;12/07/2025;00:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;00:00:00;12/07/2025;00:15:00;Digitale meter;Afname Nacht;0,048;kWh;Uitgelezen
12/07/2025;00:00:00;12/07/2025;00:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;00:15:00;12/07/2025;00:30:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
12/07/2025;00:15:00;12/07/2025;00:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;00:30:00;12/07/2025;00:45:00;Digitale meter;Afname Nacht;0,027;kWh;Uitgelezen
12/07/2025;00:30:00;12/07/2025;00:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;00:45:00;12/07/2025;01:00:00;Digitale meter;Afname Nacht;0,026;kWh;Uitgelezen
12/07/2025;00:45:00;12/07/2025;01:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;01:00:00;12/07/2025;01:15:00;Digitale meter;Afname Nacht;0,013;kWh;Uitgelezen
12/07/2025;01:00:00;12/07/2025;01:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;01:15:00;12/07/2025;01:30:00;Digitale meter;Afname Nacht;0,042;kWh;Uitgelezen
12/07/2025;01:15:00;12/07/2025;01:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;01:30:00;12/07/2025;01:45:00;Digitale meter;Afname Nacht;0,021;kWh;Uitgelezen
12/07/2025;01:30:00;12/07/2025;01:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;01:45:00;12/07/2025;02:00:00;Digitale meter;Afname Nacht;0,038;kWh;Uitgelezen
12/07/2025;01:45:00;12/07/2025;02:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;02:00:00;12/07/2025;02:15:00;Digitale meter;Afname Nacht;0,02;kWh;Uitgelezen
12/07/2025;02:00:00;12/07/2025;02:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;02:15:00;12/07/2025;02:30:00;Digitale meter;Afname Nacht;0,016;kWh;Uitgelezen
12/07/2025;02:15:00;12/07/2025;02:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;02:30:00;12/07/2025;02:45:00;Digitale meter;Afname Nacht;0,034;kWh;Uitgelezen
12/07/2025;02:30:00;12/07/2025;02:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;02:45:00;12/07/2025;03:00:00;Digitale meter;Afname Nacht;0,011;kWh;Uitgelezen
12/07/2025;02:45:00;12/07/2025;03:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;03:00:00;12/07/2025;03:15:00;Digitale meter;Afname Nacht;0,041;kWh;Uitgelezen
12/07/2025;03:00:00;12/07/2025;03:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;03:15:00;12/07/2025;03:30:00;Digitale meter;Afname Nacht;0,028;kWh;Uitgelezen
12/07/2025;03:15:00;12/07/2025;03:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;03:30:00;12/07/2025;03:45:00;Digitale meter;Afname Nacht;0,028;kWh;Uitgelezen
12/07/2025;03:30:00;12/07/2025;03:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;03:45:00;12/07/2025;04:00:00;Digitale meter;Afname Nacht;0,031;kWh;Uitgelezen
12/07/2025;03:45:00;12/07/2025;04:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;04:00:00;12/07/2025;04:15:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
12/07/2025;04:00:00;12/07/2025;04:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;04:15:00;12/07/2025;04:30:00;Digitale meter;Afname Nacht;0,036;kWh;Uitgelezen
12/07/2025;04:15:00;12/07/2025;04:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;04:30:00;12/07/2025;04:45:00;Digitale meter;Afname Nacht;0,015;kWh;Uitgelezen
12/07/2025;04:30:00;12/07/2025;04:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;04:45:00;12/07/2025;05:00:00;Digitale meter;Afname Nacht;0,027;kWh;Uitgelezen
12/07/2025;04:45:00;12/07/2025;05:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;05:00:00;12/07/2025;05:15:00;Digitale meter;Afname Nacht;0,039;kWh;Uitgelezen
12/07/2025;05:00:00;12/07/2025;05:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;05:15:00;12/07/2025;05:30:00;Digitale meter;Afname Nacht;0,021;kWh;Uitgelezen
12/07/2025;05:15:00;12/07/2025;05:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;05:30:00;12/07/2025;05:45:00;Digitale meter;Afname Nacht;0,038;kWh;Uitgelezen
12/07/2025;05:30:00;12/07/2025;05:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;05:45:00;12/07/2025;06:00:00;Digitale meter;Afname Nacht;0,012;kWh;Uitgelezen
12/07/2025;05:45:00;12/07/2025;06:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;06:00:00;12/07/2025;06:15:00;Digitale meter;Afname Nacht;0,024;kWh;Uitgelezen
12/07/2025;06:00:00;12/07/2025;06:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;06:15:00;12/07/2025;06:30:00;Digitale meter;Afname Nacht;0,025;kWh;Uitgelezen
12/07/2025;06:15:00;12/07/2025;06:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;06:30:00;12/07/2025;06:45:00;Digitale meter;Afname Nacht;0,008;kWh;Uitgelezen
12/07/2025;06:30:00;12/07/2025;06:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;06:45:00;12/07/2025;07:00:00;Digitale meter;Afname Nacht;0,047;kWh;Uitgelezen
12/07/2025;06:45:00;12/07/2025;07:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;07:00:00;12/07/2025;07:15:00;Digitale meter;Afname Nacht;0,013;kWh;Uitgelezen
12/07/2025;07:00:00;12/07/2025;07:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
12/07/2025;07:15:00;12/07/2025;07:30:00;Digitale meter;Afname Nacht;0,012;kWh;Uitgelezen
12/07/2025;07:15:00;12/07/2025;07:30:00;Digitale meter;Injectie Nacht;0,001;kWh;Uitgelezen
12/07/2025;07:30:00;12/07/2025;07:45:00;Digitale meter;Afname Nacht;0,185;kWh;Uitgelezen
12/07/2025;07:30:00;12/07/2025;07:45:00;Digitale meter;Injectie Nacht;0,002;kWh;Uitgelezen
12/07/2025;07:45:00;12/07/2025;08:00:00;Digitale meter;Afname Nacht;0,001;kWh;Uitgelezen
12/07/2025;07:45:00;12/07/2025;08:00:00;Digitale meter;Injectie Nacht;0,008;kWh;Uitgelezen
12/07/2025;08:00:00;12/07/2025;08:15:00;Digitale meter;Afname Nacht;0,006;kWh;Uitgelezen
12/07/2025;08:00:00;12/07/2025;08:15:00;Digitale meter;Injectie Nacht;0,01;kWh;Uitgelezen
12/07/2025;08:15:00;12/07/2025;08:30:00;Digitale meter;Afname Nacht;0;kWh;Uitgelezen
12/07/2025;08:15:00;12/07/2025;08:30:00;Digitale meter;Injectie Nacht;0,036;kWh;Uitgelezen
12/07/2025;08:30:00;12/07/2025;08:45:00;Digitale meter;Afname Nacht;0;kWh;Uitgelezen
12/07/2025;08:30:00;12/07/2025;08:45:00;Digitale meter;Injectie Nacht;0,022;kWh;Uitgelezen
12/07/2025;08:45:00;12/07/2025;09:00:00;Digitale meter;Afname Nacht;0;kWh;Uitgelezen
12/07/2025;08:45:00;12/07/2025;09:00:00;Digitale meter;Injectie Nacht;0,079;kWh;Uitgelezen
12/07/2025;09:00:00;12/07/2025;09:15:00;Digitale meter;Afname Nacht;0;kWh;Uitgelezen
